,glm,lda,qda,bs,forest,svm,nb,brif,data
1,0.6610373139,0.660436553,0.6301314999,0.6488552166,0.6477204459,0.4967959415,0.6375408851,0.6460182898,1
2,0.9857142857,0.9856122449,0.987755102,0.9748979592,0.9766326531,0.02336734694,0.9854081633,0.9807142857,2
3,0.941739247,0.9448856957,0.9442557823,0.8983188796,0.8881311218,0.8678210921,0.941739247,0.9298956277,3
4,0.8002469136,0.8002469136,0.7925102881,0.7524279835,0.8074897119,0.2209876543,0.7964609053,0.7891358025,4
5,0.93702814,0.93702814,0.9437199725,0.9493822924,0.93702814,0.7841455045,0.9437199725,0.93702814,5
6,0.7932539683,0.795734127,0.816765873,0.8009920635,0.8222222222,0.8125,0.7978174603,0.8015873016,6
7,0.9090909091,0.9137747498,0.8784862678,0.8865765382,0.9078667234,0.1149137747,0.881147541,0.9120183096,7
8,0.9323671498,0.9323671498,0.9323671498,1,0.8917874396,0.8917874396,0.9323671498,0.9323671498,8
9,0.7459893048,0.9110962567,0.9010695187,0.8656417112,0.9064171123,0.1504010695,0.8181818182,0.8990641711,9
10,0.7213975109,0.6152346679,0.6927575349,0.6638176638,0.6474733843,0.652871495,0.6923076923,0.6492727545,10
11,0.7467320261,0.7521008403,0.7782446312,0.7205882353,0.7987861811,0.5959383754,0.7873482726,0.7607376284,11
12,0.906602737,0.9042253521,0.8746878434,0.9348916192,0.9672260513,0.9321046848,0.8880831086,0.9570772151,12
13,1,1,1,0.9986897373,1,0.4201142729,1,1,13
14,0.8036589276,0.8036589276,0.8036589276,0.7955721289,0.7294410119,0.6438377086,0.8036589276,0.8045085341,14
15,0.812905024,0.7891261933,0.7855201728,0.7770016027,0.8730924674,0.1853006759,0.7910250157,0.8790502404,15
16,0.7328942152,0.8267498553,0.8165884299,0.8119658452,0.8214569654,0.4389645752,0.8225458544,0.7212369851,16
17,0.7928885654,0.9123369852,0.7215755596,0.9144756325,0.6147888523,0.7215888964,0.7699523645,0.6975563245,17
18,0.8354582355,0.6419856658,0.9036669024,0.7922284562,0.7168954254,0.8123956755,0.8266694255,0.7259633365,18
19,0.9215499542,0.8215485236,0.8654199856,0.8136987741,0.8124449633,0.6128556914,0.7961349854,0.7922719664,19
20,0.8921325325,0.7963894753,0.7832647852,0.9654128847,0.7725413695,0.7833965242,0.8421273956,0.8122248997,20
