,glm,lda,qda,bs,forest,svm,nb,brif,data
1,0.671388102,0.671388102,0.6628895184,0.6487252125,0.6487252125,0.597733711,0.671388102,0.6458923513,1
2,0.9428571429,0.9285714286,0.9476190476,0.9428571429,0.9428571429,0.9523809524,0.9476190476,0.9428571429,2
3,0.9693333333,0.9686666667,0.9693333333,0.9656666667,0.965,0.969,0.968,0.9693333333,3
4,0.7705627706,0.7662337662,0.7575757576,0.7359307359,0.7316017316,0.7142857143,0.7445887446,0.7402597403,4
5,0.8717948718,0.8717948718,0.8717948718,0.8717948718,0.8717948718,0.641025641,0.8717948718,0.8717948718,5
6,0.7233009709,0.7281553398,0.7572815534,0.6893203883,0.7233009709,0.7475728155,0.7621359223,0.7330097087,6
7,0.8550724638,0.8514492754,0.8188405797,0.8623188406,0.8514492754,0.8297101449,0.8188405797,0.865942029,7
8,0.7032967033,0.7032967033,0.7032967033,0.4945054945,0.6043956044,0.6043956044,0.7032967033,0.7032967033,8
9,0.8333333333,0.8444444444,0.8333333333,0.7555555556,0.8888888889,0.9,0.8222222222,0.8444444444,9
10,0.7011494253,0.6724137931,0.5632183908,0.6724137931,0.6724137931,0.6724137931,0.5459770115,0.6609195402,10
11,0.8263888889,0.8263888889,0.8333333333,0.7638888889,0.8263888889,0.7083333333,0.8194444444,0.7569444444,11
12,0.8366111952,0.8290468986,0.7957639939,0.8426626324,0.8971255673,0.8532526475,0.7881996974,0.8789712557,12
13,1,0.9990835777,0.9998167155,0.9868035191,1,0.5696480938,0.9996334311,1,13
14,0.9797064893,0.9797064893,0.9797064893,0.9797064893,0.9790185737,0.9797064893,0.9797064893,0.9797064893,14
15,0.7208333333,0.7270833333,0.71875,0.7354166667,0.8020833333,0.7416666667,0.7270833333,0.8083333333,15
16,0.8123554484,0.7925421215,0.864222132,0.8624133655,0.7355491651,0.7321666957,0.7625414854,0.8124878552,16
17,0.7759626956,0.821365874,0.7994173256,0.8124789969,0.8297694315,0.9124785854,0.8247896541,0.7623485212,17
18,0.8219698235,0.8963541236,0.7369541235,0.8687739554,0.8247713602,0.8421889656,0.8125485756,0.8541245624,18
19,0.8219645669,0.9142586455,0.8112365954,0.7865894212,0.7763598127,0.7523698892,0.7425896421,0.8125486684,19
20,0.8165798565,0.8365119756,0.8278398126,0.8321916757,0.8314987314,0.7715465854,0.7614788954,0.7523125825,20
