,glm,lda,qda,bs,forest,svm,nb,brif,data
1,"~, label, bwt + age + parity","~, label, bwt + age + parity","~, label, bwt + gestation + age","~, label, bwt + parity","~, label, bwt + parity + height","~, label, height","~, label, bwt + height + gestation","~, label, bwt",1
2,"~, label, size_uniformity + clump_thickness + bland_chromatin + marginal_adhesion + mitoses + single_epithelial_cellsize","~, label, size_uniformity + clump_thickness + bland_chromatin + marginal_adhesion + single_epithelial_cellsize","~, label, size_uniformity + clump_thickness + marginal_adhesion + bland_chromatin","~, label, size_uniformity + clump_thickness + marginal_adhesion","~, label, size_uniformity + clump_thickness + mitoses","~, label, shape_uniformity + clump_thickness + marginal_adhesion + bland_chromatin","~, label, size_uniformity + clump_thickness + marginal_adhesion + bland_chromatin + normal_nucleoli","~, label, size_uniformity + clump_thickness + mitoses",2
3,"~, label, balance","~, label, balance + student","~, label, balance + student","~, label, balance + income","~, label, balance + income","~, label, balance + student","~, label, balance","~, label, balance",3
4,"~, label, Glucose + Pregnancies + DiabetesPedigreeFunction + SkinThickness + Insulin","~, label, Glucose + Pregnancies + DiabetesPedigreeFunction + SkinThickness + Insulin","~, label, Glucose + BMI + SkinThickness","~, label, Glucose + BMI + DiabetesPedigreeFunction + SkinThickness","~, label, Glucose + BMI + Pregnancies + DiabetesPedigreeFunction","~, label, Glucose + Age + BMI + SkinThickness","~, label, Glucose + Age + BMI","~, label, Glucose + BMI + Pregnancies + DiabetesPedigreeFunction + Insulin",4
5,"~, label, polyuria + polydipsia","~, label, polyuria + polydipsia","~, label, polyuria + polydipsia","~, label, polyuria + polydipsia + delayed_healing","~, label, polyuria + polydipsia","~, label, polyphagia","~, label, polyuria + polydipsia","~, label, polyuria + polydipsia",5
6,"~, label, rfstime + pid + nodes + er + age","~, label, rfstime + pid + nodes + meno + er","~, label, rfstime + pid + nodes + age + grade","~, label, rfstime + pid + grade","~, label, rfstime + pid + nodes","~, label, rfstime + pid + nodes + grade","~, label, rfstime + pid + nodes + er + age","~, label, rfstime + pid + nodes + er + grade",6
7,"~, label, ST_Slope + Cholesterol + ExerciseAngina + FastingBS + Sex + ChestPainType + MaxHR","~, label, ST_Slope + Cholesterol + ExerciseAngina + FastingBS + Sex + ChestPainType","~, label, ST_Slope + MaxHR + Oldpeak + Cholesterol + FastingBS","~, label, ST_Slope + Oldpeak + Cholesterol + ExerciseAngina + RestingECG","~, label, ST_Slope + Cholesterol + ExerciseAngina + Oldpeak + FastingBS + ChestPainType","~, label, ST_Slope + MaxHR + ExerciseAngina + Oldpeak","~, label, ST_Slope + MaxHR + Sex + ExerciseAngina + Age","~, label, ST_Slope + Oldpeak + MaxHR + Sex + FastingBS + ExerciseAngina + ChestPainType",7
8,"~, label, exng","~, label, exng","~, label, exng","~, label, sex","~, label, sex","~, label, sex","~, label, exng","~, label, exng",8
9,"~, label, serum_creatinine + age + creatinine_phosphokinase","~, label, serum_creatinine + age + time + ejection_fraction + serum_sodium","~, label, serum_creatinine + age + ejection_fraction + time + high_blood_pressure","~, label, serum_creatinine + time + sex","~, label, time + age + ejection_fraction + anaemia","~, label, time + serum_creatinine","~, label, serum_creatinine + age + ejection_fraction + serum_sodium","~, label, time + age + platelets + serum_creatinine + ejection_fraction",9
10,"~, label, age + ast + alkphos + total_proteins + albumin + a.g.radio + direct_bilirubin + alt + total_bilirubin","~, label, age + alt + gender + ast","~, label, alkphos + age + ast + a.g.radio","~, label, alt + albumin + total_proteins","~, label, age + alt + gender","~, label, alkphos + age + ast","~, label, alkphos + age + ast + total_bilirubin","~, label, age + alt + gender",10
11,"~, label, Credit_History + LoanAmount + Gender + Education","~, label, Credit_History + LoanAmount + Gender + Education","~, label, Credit_History + LoanAmount + Gender + Education","~, label, LoanAmount + Credit_History + CoapplicantIncome","~, label, Credit_History + LoanAmount + Gender + Self_Employed + Loan_Amount_Term","~, label, Education + Gender","~, label, Credit_History + LoanAmount + Gender + Education + Loan_Amount_Term","~, label, Credit_History + ApplicantIncome + Married + LoanAmount + Loan_Amount_Term + Self_Employed",11
12,"~, label, BloodGlucose + Triglycerides + WaistCirc + HDL + Sex + Age + BMI + Income","~, label, BloodGlucose + Triglycerides + WaistCirc + HDL + Age + BMI + Sex + UricAcid + UrAlbCr","~, label, BloodGlucose + Triglycerides + WaistCirc + Sex + Age + HDL","~, label, BloodGlucose + HDL + Triglycerides + WaistCirc + Income","~, label, BloodGlucose + Triglycerides + WaistCirc + Sex + HDL + Marital + Age + Income + UrAlbCr","~, label, BloodGlucose + Triglycerides + BMI + HDL + Sex + WaistCirc + UrAlbCr + Age","~, label, BloodGlucose + Triglycerides + WaistCirc","~, label, BloodGlucose + Triglycerides + WaistCirc + HDL + Sex + Marital + UrAlbCr + UricAcid",12
13,"~, label, MinorAxisLength + id","~, label, MinorAxisLength + id","~, label, MinorAxisLength + id","~, label, MinorAxisLength","~, label, MinorAxisLength + id","~, label, MajorAxisLength","~, label, MinorAxisLength + id","~, label, MinorAxisLength + id",13
14,"~, label, age","~, label, age","~, label, age","~, label, age","~, label, bmi + age + avg_glucose_level + hypertension","~, label, age + avg_glucose_level","~, label, age","~, label, age",14
15,"~, label, alcohol + volatile.acidity + total.sulfur.dioxide + sulphates + chlorides + free.sulfur.dioxide + residual.sugar + citric.acid + fixed.acidity","~, label, alcohol + sulphates + total.sulfur.dioxide + chlorides + free.sulfur.dioxide + residual.sugar","~, label, alcohol + sulphates + total.sulfur.dioxide + free.sulfur.dioxide","~, label, alcohol + volatile.acidity + sulphates","~, label, alcohol + density + volatile.acidity + total.sulfur.dioxide + sulphates + citric.acid + pH + chlorides","~, label, alcohol + sulphates + total.sulfur.dioxide + free.sulfur.dioxide + chlorides + density","~, label, alcohol + sulphates + total.sulfur.dioxide","~, label, alcohol + citric.acid + total.sulfur.dioxide + density + volatile.acidity + sulphates + residual.sugar + chlorides + pH",15
16,"~, label, UnifSize + UnifShape + MargAdh + SingEpiSize + BareNuc + BlandChrom + NormNucl + Mit","~, label, UnifSize + UnifShape + MargAdh + SingEpiSize + BareNuc + BlandChrom + Mit","~, label, UnifSize + UnifShape + MargAdh + SingEpiSize + BareNuc + BlandChrom","~, label, UnifSize + UnifShape + MargAdh + SingEpiSize ","~, label, UnifSize + UnifShape + MargAdh + BlandChrom + NormNucl + Mit","~, label, UnifSize + UnifShape+ Mit","~, label, UnifSize + UnifShape + MargAdh  + Mit","~, label, UnifSize + UnifShape + MargAdh + SingEpiSize + BareNuc + BlandChrom + NormNucl + Mit",16
17,"~, label, BP + Cholesterol + Na_to_K","~, label, BP + Cholesterol + Na_to_K","~, label, BP + Cholesterol + Na_to_K","~, label, BP + Cholesterol + Na_to_K","~, label, BP + Cholesterol + Na_to_K","~, label, BP + Cholesterol + Na_to_K","~, label, BP + Cholesterol + Na_to_K","~, label, BP + Cholesterol + Na_to_K",17
