glm,lda,qda,bs,forest,svm,nb,NA.,data,ncases,npreds
0.6499361259,0.6491292947,0.6279835944,0.619612721,0.6211255295,0.6280508304,0.6432797687,NA,1,1174,7
0.6116710875,0.6132625995,0.5893236074,0.5967175066,0.5766246684,0.4166114058,0.6219164456,NA,1,1174,7
0.6474944629,0.6471830011,0.6146871539,0.5664105759,0.6087693798,0.3651716501,0.6343784607,NA,1,1174,7
0.6721120984,0.671291866,0.6367737526,0.6311688312,0.6380724539,0.3776144908,0.6401572112,NA,1,1174,7
0.6769392171,0.6788407318,0.6440561275,0.6383515835,0.6282211003,0.3504032522,0.676086814,NA,1,1174,7
0.618477967,0.620539335,0.5992497972,0.5865436604,0.6049608002,0.598540146,0.5888415788,NA,1,1174,7
0.6787439614,0.6779498379,0.6677916749,0.6068757859,0.6115081729,0.6284163854,0.6494937463,NA,1,1174,7
0.6640464798,0.6635338346,0.6138414217,0.5784005468,0.5862952837,0.6200615174,0.6208475735,NA,1,1174,7
0.628061481,0.6299648064,0.5936938878,0.5499174029,0.5903181786,0.6139122316,0.5913955326,NA,1,1174,7
0.6756481116,0.6736741677,0.6076786419,0.628273457,0.6234043953,0.3656402158,0.6409724964,NA,1,1174,7
0.6468531469,0.6449334979,0.6084601673,0.5804881393,0.6385232415,0.6455848073,0.6257370081,NA,1,1174,7
0.6532935755,0.6527853077,0.6473637842,0.5863377609,0.6456356736,0.6460761724,0.6314719436,NA,1,1174,7
0.6631016043,0.6627930893,0.6418140683,0.6253256547,0.6345125463,0.6411970383,0.6637871932,NA,1,1174,7
0.6859416446,0.6855769231,0.6301392573,0.6172082228,0.6550729443,0.6621352785,0.637897878,NA,1,1174,7
0.6296992481,0.6300410116,0.5660287081,0.571189337,0.6189678742,0.5799384826,0.5882433356,NA,1,1174,7
0.6755223283,0.6766237234,0.6283959682,0.648054202,0.6332354315,0.6360723583,0.6541619385,NA,1,1174,7
0.6982788656,0.6996724967,0.6398160407,0.6017699115,0.6427775068,0.3696606508,0.6606159849,NA,1,1174,7
0.6567991349,0.6582860232,0.6181400378,0.6429778318,0.6167883212,0.6309813463,0.6232089754,NA,1,1174,7
0.6419615774,0.641793057,0.6023929896,0.6380519043,0.6588810246,0.3742163802,0.6126390293,NA,1,1174,7
0.6758672391,0.6760376201,0.6050909834,0.5943910584,0.6360662441,0.6328290057,0.6301029101,NA,1,1174,7
0.9877500239,0.9871758063,0.9735859891,0.9729160685,0.9822949565,0.9685137334,0.9728203656,NA,2,699,8
0.984582177,0.9837598931,0.9762565526,0.9451125501,0.9785178333,0.02621029911,0.9801624011,NA,2,699,8
0.9980674461,0.9986472123,0.9950719876,0.9810609721,0.9971011692,0.9980674461,0.9978741907,NA,2,699,8
0.9937171793,0.9929669917,0.9758064516,0.9733683421,0.9913728432,0.9885596399,0.9790885221,NA,2,699,8
0.99560044,0.9939006099,0.9619038096,0.9891010899,0.9930006999,0.9892010799,0.9736026397,NA,2,699,8
0.996122449,0.9939795918,0.9735714286,0.9841836735,0.9960204082,0.9923469388,0.9782653061,NA,2,699,8
0.9852040816,0.983877551,0.9710204082,0.9706122449,0.9815306122,0.9705102041,0.971122449,NA,2,699,8
0.9851458886,0.9887533156,0.9862068966,0.9748541114,0.9789920424,0.9770822281,0.9835543767,NA,2,699,8
