glm,lda,qda,bs,forest,svm,nb,NA.,data,ncases,npreds
0.6458923513,0.6458923513,0.6402266289,0.6203966006,0.6373937677,0.6402266289,0.6770538244,NA,1,1174,7
0.6062322946,0.6062322946,0.6203966006,0.6175637394,0.6147308782,0.6175637394,0.6543909348,NA,1,1174,7
0.6600566572,0.6657223796,0.671388102,0.5864022663,0.6175637394,0.6487252125,0.6487252125,NA,1,1174,7
0.6487252125,0.6487252125,0.6657223796,0.6317280453,0.6543909348,0.671388102,0.6600566572,NA,1,1174,7
0.6515580737,0.6515580737,0.6515580737,0.6175637394,0.6062322946,0.6090651558,0.6543909348,NA,1,1174,7
0.611898017,0.6147308782,0.6232294618,0.6005665722,0.6402266289,0.6345609065,0.6203966006,NA,1,1174,7
0.6628895184,0.657223796,0.6628895184,0.6203966006,0.6147308782,0.6373937677,0.6487252125,NA,1,1174,7
0.6458923513,0.6543909348,0.6515580737,0.6345609065,0.6317280453,0.6600566572,0.6628895184,NA,1,1174,7
0.657223796,0.6600566572,0.6628895184,0.6175637394,0.6458923513,0.6628895184,0.6175637394,NA,1,1174,7
0.657223796,0.657223796,0.6458923513,0.6203966006,0.6203966006,0.6175637394,0.6430594901,NA,1,1174,7
0.6770538244,0.6685552408,0.6487252125,0.6090651558,0.6543909348,0.671388102,0.6600566572,NA,1,1174,7
0.657223796,0.6515580737,0.6600566572,0.6090651558,0.6487252125,0.6317280453,0.657223796,NA,1,1174,7
0.6487252125,0.6458923513,0.6628895184,0.657223796,0.6317280453,0.6543909348,0.6487252125,NA,1,1174,7
0.6628895184,0.6628895184,0.6515580737,0.611898017,0.6458923513,0.6487252125,0.6657223796,NA,1,1174,7
0.6288951841,0.6345609065,0.6203966006,0.6288951841,0.6260623229,0.6288951841,0.6232294618,NA,1,1174,7
0.6345609065,0.6317280453,0.6402266289,0.6430594901,0.6345609065,0.6288951841,0.6345609065,NA,1,1174,7
0.6912181303,0.6883852691,0.657223796,0.6600566572,0.6600566572,0.6770538244,0.6742209632,NA,1,1174,7
0.657223796,0.6600566572,0.6600566572,0.6600566572,0.6458923513,0.6657223796,0.6487252125,NA,1,1174,7
0.6515580737,0.6515580737,0.6345609065,0.6203966006,0.6430594901,0.6515580737,0.6458923513,NA,1,1174,7
0.6515580737,0.6543909348,0.6203966006,0.6345609065,0.657223796,0.6487252125,0.6402266289,NA,1,1174,7
0.9428571429,0.9285714286,0.9476190476,0.9380952381,0.9523809524,0.9523809524,0.9523809524,NA,2,699,8
0.9333333333,0.919047619,0.9428571429,0.919047619,0.9476190476,0.9428571429,0.9476190476,NA,2,699,8
0.9761904762,0.9714285714,0.9619047619,0.9428571429,0.9857142857,0.9714285714,0.9761904762,NA,2,699,8
0.9523809524,0.9428571429,0.9523809524,0.9285714286,0.9619047619,0.9619047619,0.9523809524,NA,2,699,8
0.9666666667,0.9523809524,0.919047619,0.9666666667,0.9619047619,0.9523809524,0.9476190476,NA,2,699,8
0.9619047619,0.9476190476,0.9476190476,0.9571428571,0.980952381,0.9523809524,0.9571428571,NA,2,699,8
0.9476190476,0.9333333333,0.9333333333,0.9142857143,0.9523809524,0.9428571429,0.9428571429,NA,2,699,8
0.9523809524,0.9571428571,0.9428571429,0.9285714286,0.9571428571,0.9523809524,0.9571428571,NA,2,699,8
0.9619047619,0.9571428571,0.9380952381,0.9666666667,0.9666666667,0.9619047619,0.9571428571,NA,2,699,8
0.9619047619,0.9523809524,0.9333333333,0.919047619,0.9666666667,0.9571428571,0.9571428571,NA,2,699,8
0.9476190476,0.9238095238,0.9476190476,0.9428571429,0.9619047619,0.9571428571,0.9619047619,NA,2,699,8
0.9714285714,0.9571428571,0.9619047619,0.9285714286,0.9714285714,0.9666666667,0.9666666667,NA,2,699,8
0.9380952381,0.9380952381,0.9333333333,0.9285714286,0.9571428571,0.9476190476,0.9428571429,NA,2,699,8
0.9380952381,0.9571428571,0.9333333333,0.919047619,0.9714285714,0.9619047619,0.9571428571,NA,2,699,8
0.9571428571,0.9476190476,0.9523809524,0.9476190476,0.9761904762,0.9523809524,0.9523809524,NA,2,699,8
0.9523809524,0.9380952381,0.9523809524,0.919047619,0.9666666667,0.9523809524,0.9523809524,NA,2,699,8
0.9476190476,0.9523809524,0.9285714286,0.9142857143,0.9571428571,0.9380952381,0.9333333333,NA,2,699,8
0.9619047619,0.919047619,0.9285714286,0.8904761905,0.9571428571,0.9619047619,0.9428571429,NA,2,699,8
0.9714285714,0.9714285714,0.9619047619,0.9380952381,0.9714285714,0.9666666667,0.9761904762,NA,2,699,8
0.9428571429,0.9476190476,0.919047619,0.9285714286,0.9571428571,0.9428571429,0.9380952381,NA,2,699,8
0.9756666667,0.9733333333,0.9746666667,0.975,0.975,0.9706666667,0.9706666667,NA,3,10000,3
0.975,0.9743333333,0.9743333333,0.975,0.9733333333,0.9736666667,0.9723333333,NA,3,10000,3
0.9726666667,0.9716666667,0.9726666667,0.971,0.9716666667,0.9716666667,0.9706666667,NA,3,10000,3
0.9706666667,0.969,0.97,0.9686666667,0.9683333333,0.9686666667,0.968,NA,3,10000,3
0.9736666667,0.975,0.9743333333,0.9723333333,0.973,0.9746666667,0.973,NA,3,10000,3
0.9756666667,0.976,0.975,0.9763333333,0.9723333333,0.9743333333,0.975,NA,3,10000,3
0.975,0.9716666667,0.972,0.976,0.972,0.97,0.9703333333,NA,3,10000,3
0.9743333333,0.974,0.9736666667,0.974,0.9716666667,0.9716666667,0.9733333333,NA,3,10000,3
0.9753333333,0.9736666667,0.9743333333,0.9736666667,0.9736666667,0.973,0.971,NA,3,10000,3
0.9726666667,0.974,0.975,0.9743333333,0.9716666667,0.9743333333,0.973,NA,3,10000,3
0.9713333333,0.9716666667,0.9723333333,0.9726666667,0.9703333333,0.9706666667,0.9716666667,NA,3,10000,3
0.9686666667,0.9696666667,0.9693333333,0.9676666667,0.9676666667,0.9686666667,0.9696666667,NA,3,10000,3
0.974,0.973,0.974,0.9716666667,0.973,0.972,0.971,NA,3,10000,3
0.975,0.972,0.973,0.9723333333,0.972,0.9703333333,0.9696666667,NA,3,10000,3
0.9726666667,0.974,0.9726666667,0.9703333333,0.973,0.9736666667,0.973,NA,3,10000,3
0.976,0.9753333333,0.976,0.974,0.9736666667,0.975,0.9746666667,NA,3,10000,3
0.9743333333,0.976,0.9756666667,0.9723333333,0.974,0.976,0.9746666667,NA,3,10000,3
0.9726666667,0.9716666667,0.973,0.9696666667,0.9703333333,0.9693333333,0.9703333333,NA,3,10000,3
0.9716666667,0.97,0.9703333333,0.965,0.9703333333,0.9686666667,0.9676666667,NA,3,10000,3
0.9746666667,0.9736666667,0.973,0.972,0.9736666667,0.9706666667,0.969,NA,3,10000,3
0.7705627706,0.7619047619,0.7229437229,0.7619047619,0.7662337662,0.7532467532,0.7792207792,NA,4,768,8
0.7748917749,0.7705627706,0.7575757576,0.7489177489,0.7705627706,0.7619047619,0.7619047619,NA,4,768,8
0.8051948052,0.8051948052,0.7575757576,0.7272727273,0.7445887446,0.7792207792,0.7878787879,NA,4,768,8
0.7835497835,0.7878787879,0.7402597403,0.7186147186,0.7792207792,0.7792207792,0.7662337662,NA,4,768,8
0.8095238095,0.8095238095,0.8051948052,0.7662337662,0.8051948052,0.8051948052,0.7922077922,NA,4,768,8
0.7878787879,0.7878787879,0.7489177489,0.7012987013,0.7575757576,0.7445887446,0.7619047619,NA,4,768,8
0.7402597403,0.7272727273,0.70995671,0.7272727273,0.7359307359,0.7229437229,0.7012987013,NA,4,768,8
0.7316017316,0.7402597403,0.7012987013,0.6883116883,0.7142857143,0.7359307359,0.7402597403,NA,4,768,8
0.7532467532,0.7445887446,0.70995671,0.7229437229,0.70995671,0.70995671,0.7272727273,NA,4,768,8
0.7835497835,0.7835497835,0.7489177489,0.7316017316,0.7705627706,0.7878787879,0.7705627706,NA,4,768,8
0.8354978355,0.8398268398,0.8095238095,0.7792207792,0.8181818182,0.8095238095,0.7922077922,NA,4,768,8
0.7575757576,0.7532467532,0.7316017316,0.6926406926,0.7445887446,0.7359307359,0.7402597403,NA,4,768,8
0.7359307359,0.7402597403,0.7056277056,0.7229437229,0.7402597403,0.7229437229,0.7012987013,NA,4,768,8
0.7705627706,0.7748917749,0.7402597403,0.7532467532,0.7748917749,0.7662337662,0.7705627706,NA,4,768,8
0.7705627706,0.7792207792,0.7445887446,0.7142857143,0.7532467532,0.7662337662,0.7489177489,NA,4,768,8
0.7619047619,0.7619047619,0.7532467532,0.7316017316,0.7445887446,0.7792207792,0.7575757576,NA,4,768,8
0.7532467532,0.7532467532,0.7619047619,0.7445887446,0.7575757576,0.7748917749,0.7705627706,NA,4,768,8
0.7402597403,0.7402597403,0.696969697,0.70995671,0.7402597403,0.7316017316,0.7272727273,NA,4,768,8
0.8225108225,0.8181818182,0.7705627706,0.7748917749,0.7619047619,0.7662337662,0.7748917749,NA,4,768,8
0.7532467532,0.7445887446,0.7748917749,0.7445887446,0.7792207792,0.7402597403,0.7705627706,NA,4,768,8
0.9423076923,0.891025641,0.9166666667,0.9615384615,0.9871794872,0.9487179487,0.8782051282,NA,5,520,16
0.9358974359,0.9166666667,0.9423076923,0.9294871795,0.9871794872,0.9743589744,0.891025641,NA,5,520,16
0.9358974359,0.8653846154,0.9102564103,0.9358974359,0.9423076923,0.9423076923,0.8525641026,NA,5,520,16
0.9294871795,0.9038461538,0.9551282051,0.9166666667,0.9615384615,0.9551282051,0.8397435897,NA,5,520,16
0.9358974359,0.9038461538,0.9230769231,0.9102564103,0.9743589744,0.9615384615,0.8525641026,NA,5,520,16
0.9102564103,0.8974358974,0.9487179487,0.9102564103,0.9679487179,0.9358974359,0.891025641,NA,5,520,16
0.9294871795,0.891025641,0.8974358974,0.9102564103,0.9807692308,0.9615384615,0.8782051282,NA,5,520,16
0.891025641,0.8974358974,0.9166666667,0.9038461538,0.9551282051,0.9230769231,0.8397435897,NA,5,520,16
0.9166666667,0.8461538462,0.9230769231,0.8397435897,0.9615384615,0.9615384615,0.8461538462,NA,5,520,16
0.9358974359,0.891025641,0.9679487179,0.891025641,0.9807692308,0.9551282051,0.8525641026,NA,5,520,16
0.9294871795,0.9038461538,0.9423076923,0.9038461538,0.9871794872,0.9615384615,0.891025641,NA,5,520,16
0.8653846154,0.9038461538,0.9102564103,0.8461538462,0.9551282051,0.9743589744,0.8141025641,NA,5,520,16
0.9102564103,0.8653846154,0.9102564103,0.9038461538,0.9807692308,0.9423076923,0.858974359,NA,5,520,16
0.891025641,0.8461538462,0.9294871795,0.858974359,0.9423076923,0.9358974359,0.8397435897,NA,5,520,16
0.9358974359,0.8974358974,0.9294871795,0.8974358974,0.9871794872,0.9294871795,0.858974359,NA,5,520,16
0.9358974359,0.9230769231,0.8974358974,0.9358974359,0.9679487179,0.9551282051,0.891025641,NA,5,520,16
0.9487179487,0.891025641,0.9551282051,0.858974359,0.9743589744,0.9487179487,0.8782051282,NA,5,520,16
0.9551282051,0.9038461538,0.9423076923,0.9551282051,0.9935897436,0.9743589744,0.891025641,NA,5,520,16
0.9038461538,0.8461538462,0.9038461538,0.8397435897,0.9487179487,0.9294871795,0.858974359,NA,5,520,16
0.9038461538,0.8205128205,0.9423076923,0.8782051282,0.9294871795,0.9102564103,0.8076923077,NA,5,520,16
0.786407767,0.7815533981,0.7815533981,0.7378640777,0.7961165049,0.7718446602,0.7038834951,NA,6,686,11
0.7524271845,0.7669902913,0.7669902913,0.7330097087,0.7718446602,0.7621359223,0.7766990291,NA,6,686,11
0.7815533981,0.7912621359,0.7281553398,0.7378640777,0.7038834951,0.7475728155,0.645631068,NA,6,686,11
0.7330097087,0.7330097087,0.6941747573,0.713592233,0.7281553398,0.713592233,0.6699029126,NA,6,686,11
0.7669902913,0.7572815534,0.7378640777,0.7330097087,0.7524271845,0.7718446602,0.7184466019,NA,6,686,11
0.7766990291,0.7766990291,0.7572815534,0.713592233,0.7427184466,0.7475728155,0.7233009709,NA,6,686,11
0.7572815534,0.7766990291,0.7087378641,0.7038834951,0.7572815534,0.7281553398,0.6699029126,NA,6,686,11
0.7815533981,0.7815533981,0.7330097087,0.7475728155,0.7718446602,0.7912621359,0.6941747573,NA,6,686,11
0.8155339806,0.8106796117,0.7621359223,0.7475728155,0.8106796117,0.8009708738,0.7621359223,NA,6,686,11
0.7524271845,0.7524271845,0.7233009709,0.7233009709,0.7330097087,0.7572815534,0.6893203883,NA,6,686,11
0.7427184466,0.7427184466,0.7281553398,0.7038834951,0.7718446602,0.7718446602,0.7233009709,NA,6,686,11
0.7766990291,0.7961165049,0.7621359223,0.7427184466,0.8252427184,0.7961165049,0.7427184466,NA,6,686,11
0.7475728155,0.7281553398,0.7524271845,0.7281553398,0.7184466019,0.7184466019,0.6650485437,NA,6,686,11
0.7524271845,0.7524271845,0.6650485437,0.7281553398,0.7427184466,0.7087378641,0.6699029126,NA,6,686,11
0.7815533981,0.7961165049,0.7378640777,0.7378640777,0.7184466019,0.7572815534,0.6553398058,NA,6,686,11
0.7524271845,0.7572815534,0.7330097087,0.6747572816,0.7572815534,0.7572815534,0.7184466019,NA,6,686,11
0.7961165049,0.8009708738,0.7184466019,0.7621359223,0.7766990291,0.7718446602,0.7087378641,NA,6,686,11
0.7475728155,0.7572815534,0.7184466019,0.7669902913,0.7669902913,0.7184466019,0.713592233,NA,6,686,11
0.7669902913,0.7766990291,0.7524271845,0.7038834951,0.8155339806,0.7572815534,0.7427184466,NA,6,686,11
0.7912621359,0.7912621359,0.7718446602,0.7427184466,0.7718446602,0.7766990291,0.7378640777,NA,6,686,11
0.8405797101,0.847826087,0.8152173913,0.8297101449,0.8442028986,0.8369565217,0.8442028986,NA,7,918,11
0.8405797101,0.8405797101,0.8260869565,0.8333333333,0.847826087,0.8623188406,0.8586956522,NA,7,918,11
0.8586956522,0.865942029,0.8442028986,0.8224637681,0.8768115942,0.8768115942,0.8405797101,NA,7,918,11
0.8695652174,0.8804347826,0.8405797101,0.8152173913,0.865942029,0.8768115942,0.847826087,NA,7,918,11
0.8260869565,0.8152173913,0.8369565217,0.8152173913,0.8514492754,0.847826087,0.8405797101,NA,7,918,11
0.865942029,0.8695652174,0.8442028986,0.8260869565,0.8695652174,0.865942029,0.8586956522,NA,7,918,11
0.8586956522,0.8442028986,0.8442028986,0.7862318841,0.8586956522,0.8731884058,0.8586956522,NA,7,918,11
0.8586956522,0.8514492754,0.8297101449,0.8297101449,0.8514492754,0.8695652174,0.8586956522,NA,7,918,11
0.847826087,0.8550724638,0.8260869565,0.8224637681,0.8550724638,0.865942029,0.8369565217,NA,7,918,11
0.8804347826,0.8804347826,0.8442028986,0.8695652174,0.8913043478,0.884057971,0.8514492754,NA,7,918,11
0.8731884058,0.8768115942,0.8731884058,0.8007246377,0.8949275362,0.8876811594,0.847826087,NA,7,918,11
0.8442028986,0.8405797101,0.8188405797,0.8188405797,0.8369565217,0.8405797101,0.8297101449,NA,7,918,11
0.8442028986,0.8514492754,0.847826087,0.8152173913,0.8514492754,0.8550724638,0.8442028986,NA,7,918,11
0.865942029,0.8550724638,0.8623188406,0.8297101449,0.884057971,0.8731884058,0.8586956522,NA,7,918,11
0.8804347826,0.8731884058,0.8695652174,0.8333333333,0.9057971014,0.8949275362,0.8695652174,NA,7,918,11
