glm,lda,qda,bs,forest,svm,nb,NA.,data,ncases,npreds
0.002,0.002,0.001,1.119,0.216,0.161,0.001,NA,1,1174,7
0.003,0.002,0.002,1.169,0.218,0.16,0.001,NA,1,1174,7
0.003,0.002,0.002,1.233,0.219,0.169,0.002,NA,1,1174,7
0.003,0.002,0.002,0.992,0.216,0.166,0.002,NA,1,1174,7
0.003,0.001,0.002,1.207,0.218,0.164,0.001,NA,1,1174,7
0.003,0.002,0.001,1.028,0.231,0.16,0.002,NA,1,1174,7
0.003,0.002,0.002,1.185,0.217,0.16,0.001,NA,1,1174,7
0.003,0.002,0.002,1,0.22,0.166,0.001,NA,1,1174,7
0.003,0.002,0.002,1.125,0.215,0.163,0.001,NA,1,1174,7
0.003,0.002,0.002,1.094,0.215,0.167,0.002,NA,1,1174,7
0.003,0.002,0.001,1.229,0.214,0.165,0.002,NA,1,1174,7
0.002,0.002,0.001,1.026,0.218,0.164,0.001,NA,1,1174,7
0.003,0.002,0.002,1.035,0.215,0.162,0.001,NA,1,1174,7
0.004,0.002,0.002,1.143,0.215,0.165,0.001,NA,1,1174,7
0.003,0.002,0.002,1.026,0.212,0.161,0.001,NA,1,1174,7
0.003,0.002,0.001,1.107,0.217,0.164,0.001,NA,1,1174,7
0.003,0.003,0.001,1.292,0.22,0.169,0.001,NA,1,1174,7
0.003,0.002,0.002,1.005,0.212,0.163,0.001,NA,1,1174,7
0.003,0.002,0.002,0.985,0.213,0.164,0.001,NA,1,1174,7
0.003,0.002,0.002,1.236,0.215,0.165,0.001,NA,1,1174,7
0.003,0.001,0.002,0.288,0.062,0.016,0.001,NA,2,699,8
0.003,0.002,0.001,0.272,0.062,0.016,0.001,NA,2,699,8
0.003,0.001,0.001,0.326,0.068,0.02,0.001,NA,2,699,8
0.002,0.002,0.001,0.255,0.062,0.018,0.002,NA,2,699,8
0.003,0.001,0.001,0.34,0.067,0.016,0.001,NA,2,699,8
0.003,0.001,0.002,0.322,0.068,0.019,0.001,NA,2,699,8
0.003,0.001,0.001,0.277,0.063,0.017,0.001,NA,2,699,8
0.003,0.002,0.002,0.292,0.063,0.016,0.001,NA,2,699,8
0.003,0.001,0.001,0.312,0.07,0.018,0.001,NA,2,699,8
0.003,0.001,0.001,0.311,0.068,0.019,0.001,NA,2,699,8
0.003,0.002,0.002,0.251,0.067,0.018,0.002,NA,2,699,8
0.003,0.002,0.002,0.298,0.083,0.018,0.001,NA,2,699,8
0.003,0.001,0.001,0.341,0.065,0.015,0.002,NA,2,699,8
0.002,0.001,0.001,0.33,0.068,0.017,0.002,NA,2,699,8
0.004,0.002,0.002,0.275,0.064,0.017,0.001,NA,2,699,8
0.003,0.001,0.002,0.251,0.062,0.017,0.019,NA,2,699,8
0.002,0.001,0.001,0.272,0.066,0.018,0.001,NA,2,699,8
0.004,0.002,0.002,0.296,0.065,0.017,0.001,NA,2,699,8
0.003,0.002,0.002,0.32,0.065,0.019,0.001,NA,2,699,8
0.003,0.001,0.001,0.261,0.064,0.016,0.002,NA,2,699,8
0.023,0.005,0.005,1.694,1.055,1.29,0.003,NA,3,10000,3
0.018,0.004,0.006,1.685,0.872,1.26,0.003,NA,3,10000,3
0.019,0.004,0.005,1.767,0.872,1.233,0.003,NA,3,10000,3
0.019,0.005,0.005,1.646,0.876,1.162,0.003,NA,3,10000,3
0.019,0.004,0.004,1.557,0.889,1.243,0.003,NA,3,10000,3
0.019,0.004,0.004,1.752,0.875,1.347,0.003,NA,3,10000,3
0.019,0.005,0.004,1.717,0.876,1.325,0.003,NA,3,10000,3
0.018,0.004,0.004,1.662,0.88,1.291,0.003,NA,3,10000,3
0.018,0.004,0.005,1.806,0.843,1.291,0.003,NA,3,10000,3
0.018,0.004,0.003,1.613,0.882,1.226,0.003,NA,3,10000,3
0.018,0.004,0.005,1.676,0.825,1.228,0.003,NA,3,10000,3
0.018,0.004,0.004,1.727,0.836,1.215,0.003,NA,3,10000,3
0.019,0.004,0.004,1.415,0.921,1.269,0.003,NA,3,10000,3
0.018,0.005,0.004,1.389,0.951,1.244,0.003,NA,3,10000,3
0.018,0.004,0.005,1.436,0.933,1.278,0.003,NA,3,10000,3
0.018,0.004,0.005,1.465,1.006,1.284,0.003,NA,3,10000,3
0.018,0.004,0.004,1.391,0.972,1.299,0.004,NA,3,10000,3
0.019,0.004,0.005,1.507,0.935,1.294,0.004,NA,3,10000,3
0.019,0.004,0.004,1.477,0.935,1.217,0.003,NA,3,10000,3
0.02,0.004,0.004,1.611,0.968,1.352,0.003,NA,3,10000,3
0.003,0.002,0.001,0.726,0.13,0.057,0.001,NA,4,768,8
0.003,0.002,0.001,0.694,0.132,0.058,0.001,NA,4,768,8
0.002,0.002,0.002,0.666,0.126,0.056,0.001,NA,4,768,8
0.002,0.002,0.001,0.709,0.127,0.056,0.002,NA,4,768,8
0.002,0.002,0.001,0.791,0.128,0.058,0.001,NA,4,768,8
0.002,0.002,0.001,0.703,0.128,0.055,0.002,NA,4,768,8
0.003,0.002,0.001,0.745,0.125,0.054,0.001,NA,4,768,8
0.002,0.001,0.002,0.676,0.127,0.053,0.002,NA,4,768,8
0.003,0.001,0.001,0.754,0.124,0.055,0.002,NA,4,768,8
0.003,0.002,0.002,0.794,0.13,0.058,0.001,NA,4,768,8
0.002,0.002,0.001,0.799,0.127,0.06,0.001,NA,4,768,8
0.003,0.002,0.002,0.737,0.127,0.054,0.001,NA,4,768,8
