glm acc,glm auc,glm precision,glm errorrate,lda acc, lda AUC,lda Precision,lda Error rate,qda Accuracy,qda AUC,qda Precision, qda Error rate,bs Accuracy,bs AUC,bs Precision,bs Error rate, forest Accuracy, forest AUC,forest Precision,forest Error rate,svm Accuracy,svm AUC,svm Precision,svm Error rate,nb Accuracy,nb AUC, nb Precision,nb Error rate,nrows,n pred,Dataset No.
0.671388,0.661037,0.586667,16.90018,0.671388,0.661037,0.554054,16.71743,0.671388,0.630132,0.628205,16.42625,0.648725,0.648855,0.436975,13.90018,0.648725,0.64772,0.494382,15.89425,0.597734,0.496796,0,15.38884,0.671388,0.637541,0.573171,14.04648,1174,7,1
0.942857,0.985714,0.755869,31.52647,0.928571,0.985714,0.803279,30.37101,0.928571,0.987755,0.476,29.71988,0.942857,0.974898,0.378378,28.52647,0.942857,0.976633,0.858447,0.858447,0.952381,0.023367,0,0,0.947619,0.985408,0.733333,0.733333,699,8,2
0.969333,0.941739,0.953846,30.82869,0.968667,0.941739,0.983333,30.36576,0.968667,0.944256,0.902778,30.0441,0.965667,0.898319,0.941176,27.82869,0.965,0.888131,0.942029,29.18231,0.969,0.867821,0,28.91713,0.968,0.941739,0.926471,28.26472,10000,3,3
0.770563,0.800247,0.694444,25.35128,0.766234,0.800247,0.75,25.1517,0.766234,0.79251,0.045224,24.93027,0.735931,0.752428,0.530612,22.35128,0.731602,0.80749,0.508475,24.6991,0.714286,0.220988,0.727273,24.50399,0.744589,0.796461,0.33871,23.89006,768,8,4
0.871795,0.937028,0.617284,28.21788,0.871795,0.937028,0.6125,28.16429,0.871795,0.94372,0.654762,28.11774,0.871795,0.949382,0.573333,25.21788,0.871795,0.937028,0.617284,27.22284,0.641026,0.784146,0.643836,26.72409,0.871795,0.94372,0.623529,25.51673,520,16,5
0.723301,0.793254,0.960396,33.4037,0.728155,0.793254,0.957447,33.36573,0.728155,0.816766,0.916667,33.36506,0.68932,0.800992,0.967742,30.4037,0.723301,0.822222,1,31.88852,0.747573,0.8125,0.980392,31.80823,0.762136,0.797817,0.925234,30.44432,686,11,6
0.855072,0.909091,0.77381,24.9757,0.851449,0.909091,0.790697,24.87456,0.851449,0.878486,0.755319,24.74007,0.862319,0.886577,0.717647,21.9757,0.851449,0.907867,0.8125,23.37306,0.82971,0.114914,0.78481,23.16419,0.818841,0.881148,0.628571,22.71356,918,11,7
0.703297,0.932367,0.929032,25.11034,0.703297,0.932367,0.915584,25.05382,0.703297,0.932367,0.853933,24.18534,0.494505,1,0.907407,22.11034,0.604396,0.891787,0.911392,23.73144,0.604396,0.891787,0.928571,22.47507,0.703297,0.932367,0.907407,22.11352,303,13,8
0.833333,0.745989,0.843137,37.45304,0.844444,0.745989,0.82,37.36505,0.844444,0.90107,0.860465,35.60775,0.755556,0.865642,0.88,34.45304,0.888889,0.906417,0.823529,35.55318,0.9,0.150401,0.84,35.02439,0.822222,0.818182,0.888889,34.60299,299,12,9
0.701149,0.721398,0.88,32.16712,0.672414,0.721398,0.884615,31.19314,0.672414,0.692758,0.75,30.95071,0.672414,0.663818,0.705882,29.16712,0.672414,0.647473,0.833333,30.90089,0.672414,0.652871,0.833333,30.00017,0.545977,0.692308,0.789474,29.22308,579,10,10
0.826389,0.746732,0.52,33.44708,0.826389,0.746732,0.5,33.02564,0.826389,0.778245,0.366667,31.85121,0.763889,0.720588,0.375,30.44708,0.826389,0.798786,0.487179,31.32696,0.708333,0.595938,0,31.15327,0.819444,0.787348,0.383333,30.84438,480,9,11
0.836611,0.906603,0.828571,36.96793,0.829047,0.906603,0.829787,36.96078,0.829047,0.874688,0.780822,36.19716,0.842663,0.934892,0.823529,33.96793,0.897126,0.967226,0.835938,35.82386,0.853253,0.932105,0.823944,35.15558,0.7882,0.888083,0.82963,34.91803,2201,14,12
1,1,1,26.94409,0.999084,1,1,26.67916,0.999084,1,1,26.62018,0.986804,0.99869,1,23.94409,1,1,1,25.0031,0.569648,0.420114,1,24.53163,0.999633,1,0.986872,24.20974,18185,11,13
0.979706,0.803659,0,19.29598,0.979706,0.803659,0.2,18.89829,0.979706,0.803659,0.098326,17.47413,0.979706,0.795572,0,16.29598,0.979019,0.729441,0.166667,16.90371,0.979706,0.643838,0,16.86464,0.979706,0.803659,0.095238,16.53975,29072,5,14
